modzcta,borocd,overlap_sqft,zip_total_sqft,area_weight
11433,412,44215300.00001313,44215300.00001313,1.0
11434,412,74955710.5499651,288048450.0000246,0.26021910741043286
11434,413,18988928.51224073,288048450.0000246,0.06592268943727733
11434,410,3974423.045870386,288048450.0000246,0.01379775883491144
11435,412,25764644.812713485,42278532.00002012,0.6094025405778334
11435,408,16512108.903617842,42278532.00002012,0.39055539827186964
11436,412,21918706.479564913,21919893.999989294,0.9999458245361779
11691,414,76582865.54994431,76599135.99999619,0.9997875896400206
11692,414,27812011.171400543,27824890.0000101,0.9995371471869412
11693,414,27236165.24054596,27396527.999992445,0.9941466028306021
11694,414,36800103.44335269,37224754.00002321,0.9885922535130722
11697,414,26386222.17419773,72170751.9999902,0.36560824770401884
99999,203,6457666.514889926,156974493.99999636,0.041138317126157294
99999,212,1840963.7728350668,156974493.99999636,0.011727789183605264
99999,204,1836552.0000013446,156974493.99999636,0.011699684153792444
99999,210,1527374.1849396192,156974493.99999636,0.009730078728201886
99999,307,1308915.8580813913,156974493.99999636,0.008338398326555025
99999,206,1082696.8466026534,156974493.99999636,0.006897278780861549
99999,202,385245.37021849985,156974493.99999636,0.002454190871406846
99999,209,373002.2651086104,156974493.99999636,0.002376196639363711
99999,414,300894.77615788043,156974493.99999636,0.0019168386435944645
99999,503,174085.42260820145,156974493.99999636,0.0011090045151424758
99999,502,137586.0751375755,156974493.99999636,0.0008764868204485418
99999,107,119269.41589761806,156974493.99999636,0.0007598012445105943
99999,104,54605.23697493131,156974493.99999636,0.0003478605701059471
