modzcta,borocd,overlap_sqft,zip_total_sqft,area_weight
10453,205,24655494.15675062,25772557.99999321,0.9566568501565548
10453,207,774813.2871521544,25772557.99999321,0.03006349960110124
10453,204,340810.8306604128,25772557.99999321,0.013223787513078934
10454,201,29131033.07717787,29138140.00003347,0.9997560955210046
10455,201,15422224.860509548,19954387.99998668,0.7728738591491678
10455,202,4532163.1394771105,19954387.99998668,0.22712614085083122
10456,203,16157855.558436355,28365970.00000972,0.5696211184891903
10456,204,9801786.523409516,28365970.00000972,0.3455473767830311
10456,201,2406327.9181638416,28365970.00000972,0.08483150472777828
10457,206,14411039.307351068,29585562.00001044,0.4870970275077412
10457,205,7254138.771979962,29585562.00001044,0.2451918531065052
10457,203,4228007.845500445,29585562.00001044,0.14290780906913153
10457,204,3692376.0751465987,29585562.00001044,0.12480331031552809
10458,206,13124993.280669851,28012988.000008367,0.4685324279104368
10458,207,11537552.310180806,28012988.000008367,0.4118643934084204
10458,205,3005039.8361166716,28012988.000008367,0.10727309189993492
10459,202,12929622.070404908,22767665.9999991,0.5678940507299
10459,203,8161772.93609179,22767665.9999991,0.35848087968666237
10459,209,1557491.2350701701,22767665.9999991,0.06840803247334319
10459,201,118779.758432245,22767665.9999991,0.005217037110095067
10460,206,14043505.988830226,36606750.19999962,0.3836315955965512
10460,203,7328067.7937493855,36606750.19999962,0.20018351133910436
10460,209,5506690.792993103,36606750.19999962,0.1504282888513048
10460,211,3028685.297062234,36606750.19999962,0.08273570531432384
10461,211,32624657.892286737,66549270.000009656,0.49023314443993155
10461,210,31508945.628043924,66549270.000009656,0.4734679377856339
10461,209,712643.56445915,66549270.000009656,0.010708510618659626
10462,211,19503488.950902004,41254354.00001614,0.4727619526146107
10462,209,16435387.551090416,41254354.00001614,0.3983915867664292
10462,210,2752049.504317597,41254354.00001614,0.06670931035101217
10463,208,41845866.40867281,43701833.999996364,0.9575311280683618
10463,207,1854290.904673524,43701833.999996364,0.04243050542624088
10464,210,14629514.296853071,91511708.00001709,0.15986494642685872
10464,212,2222305.8797185826,91511708.00001709,0.02428438861307416
10465,210,94449726.99583283,94472230.00001468,0.999761802974463
10466,212,56253517.46694112,56272804.000062615,0.9996572672454446
10467,212,20150285.00314265,65292335.99997445,0.30861638957366355
10467,207,15041289.037022734,65292335.99997445,0.23036837029431173
10467,211,10398541.779659532,65292335.99997445,0.15926129185611618
10468,207,24088839.539982952,29907543.999997932,0.8054435877444373
10468,208,3231548.7381731947,29907543.999997932,0.1080512909442988
10468,205,2586212.3098062426,29907543.999997932,0.08647357702813784
10469,211,34754808.236871235,65719453.99997204,0.5288359248524193
10469,212,30964118.712355837,65719453.99997204,0.4711560554408899
10470,212,33604077.81254611,40190121.999999,0.836127788130301
10471,208,46987354.03169093,71301084.00004114,0.6589991539492418
10472,209,29445188.182382166,29445624.00002132,0.9999851992391415
10473,209,60221331.66435339,60228405.99997865,0.9998825415431839
10474,202,42850769.670175515,42854744.00000678,0.9999072604463285
10475,210,27739774.199497417,53125579.9999761,0.5221547548188631
10475,212,9838662.183718093,53125579.9999761,0.1851963250796042
11004,413,36427419.34041981,36431072.00001827,0.9998997377952957
11101,402,51209708.26058014,72538548.00001188,0.7059654442017747
11101,401,21315039.823462468,72538548.00001188,0.2938443132809741
11102,401,21995803.61925894,22004342.000004154,0.9996119683676425
11103,401,19826239.999979235,19826239.99997924,0.9999999999999998
11104,402,10834217.2162058,10834329.99999788,0.9999895901461299
11105,401,45722254.81078977,46782343.99998421,0.977339972764195
11106,401,23834189.68129255,23839939.999990456,0.9997587947495711
11109,402,1360739.8886806723,1363238.0000087572,0.9981675163631963
11201,302,33272131.425881907,39084484.000021145,0.8512874680874362
11201,306,5810425.709523785,39084484.000021145,0.14866323192396863
11203,317,49501039.33554392,59870271.99999864,0.826804984877053
11203,309,10339448.388961526,59870271.99999864,0.17269753491284892
11204,311,25353996.225387584,44321509.999995336,0.5720472119607444
11204,312,18967437.26683985,44321509.999995336,0.4279510618397669
11205,302,17515612.77081397,26232550.000001095,0.6677053039377887
11205,303,8716183.488132663,26232550.000001095,0.3322659630166453
11206,301,22022934.883323103,39967116.000006914,0.5510263708624684
11206,303,12649110.950526841,39967116.000006914,0.3164879585138105
11206,304,5295070.166156983,39967116.000006914,0.13248567062372144
11207,305,57303129.19158107,74362817.99999847,0.7705884571451052
11207,304,15394820.586680975,74362817.99999847,0.2070230930016839
11207,318,1153130.5914258698,74362817.99999847,0.015506816745781388
11207,316,510968.6677814156,74362817.99999847,0.0068712924217238
11208,305,88916328.39040038,102631636.00004283,0.8663637437326175
11209,310,59910162.06849137,59912617.999994144,0.9999590081090636
11210,314,23453575.3474245,45726672.00000745,0.512907988305396
11210,318,12927855.533757096,45726672.00000745,0.28272023675274227
11210,317,9318985.860774428,45726672.00000745,0.2037975967455692
11211,301,57437974.839615,64003318.00000337,0.8974218311558781
11211,302,6536929.317254469,64003318.00000337,0.10213422556083929
11212,316,31375719.9643715,42898710.000004165,0.7313907566070973
11212,317,11395637.395248232,42898710.000004165,0.2656405611088801
11212,318,109866.67440634333,42898710.000004165,0.0025610717526548623
11213,308,18366845.46376646,30420668.000013124,0.6037620693851474
11213,309,9829511.814462282,30420668.000013124,0.3231195256612393
11213,303,2223861.019864561,30420668.000013124,0.07310362217764585
11214,311,46168273.33746178,60267732.00000888,0.7660529408582187
11214,313,14092248.189144045,60267732.00000888,0.2338274184457774
